,question,humor
205,What is the recomended sunblock SPF use while watching this tv?,True
206,Is it gluten free / dairy free?,True
207,Is this the TV that Joey and Chandler used to get free porn?,True
208,Does it support Picture-in-Picture-in-Picture-in-Picture-in-Picture? I'm not buying it if I cant watch down through at least 5 levels of PiPiPiPiPiP!!,True
209,How good is watching porn on this tv?,True
210,If I put one of these in every room of my house will creepy Korean people watch my every move and listen to everything I say?,True
211,Will Amazon deliver this to Offices located under Active Volcanos?,True
212,Can it do the house work for me  or maybe now the lawn??,True
213,Wtf?,True
214,is this real?,True
215,You people have such a great sense of humor wish I could meet each and everyone of you so we can watch The Office on this beautiful tv screen lol?,True
216,I want to watch tv while at work will I be able to see this 7 miles from my office?,True
217,Does the curvature of the tv match my field of vision? I don't want to be able to see my wife or children.,True
218,Can this product be used as a half pipe for my skateboarding son?,True
219,Does this TV come with babysitting capabilities? My wife and I would like to go out every now and then.,True
220,Was thinking of buying one of these. I can sell a kidney and part of my intestines and get $120k. Worth it?,True
221,Is it too risky to add this tv experience to my daily lsd use?,True
222,Asking a lot and no will reply but could any one spare any money they have for me and my other half to go traveling all we need is 6 grand plz plz,True
223,IS THIS TV A JOKE OR WHAT????  I CAN'T BELIEVE IT...,True
224,What if this TV breaks in a random fit of rage? Is there insurance?,True
225,If they take my stapler can I burn my place of employment down?,True
226,Will the mom and son come with it?,True
227,Will this wallet cause you to spill coffee beans on your violin?,True
228,Does it give me super powers,True
229,Serve sweet shooters filled with ice cream milk mouse and more where do you get the mouse from like a trap or something?,True
230,Do broken families use this service more than others?,True
231,So if i find out im native american can i get back pay from a tribe?,True
232,Really surprised that oprah is pushing the dna test when it will eventually bite you all in the butt don't you think?,True
233,Will this test (23and me) help to locate a missing step sister?,True
234,Will it suck a ninja turtle out of a black hole?,True
235,Will it suck a ninja turtle out of a black hole?,True
236,is it boneless?,True
237,could you use this to hit a pinata ?,True
238,Will this hammer allow me to fly?,True
239,"Does the top of the hammer has the inscription ""Whosoever holds this hammer if he be worthy shall possess the power of Thor""?",True
240,Is this product still eligible for prime shipping despite its immense weight? Will my elevator be able to get it up to my 14th floor apartment?,True
241,Do any of the Kardashians own one of these?,True
242,Will your mom make love to me if I buy this?,True
243,Will this thing make me fly? It seems due to the price that it has to do something special,True
244,Who pays this much for a frekin cooler?,True
245,Which organ should I sell to finance this ice box?,True
246,How many stacks of cash  can I fit inside this  simple cooler ?,True
247,Is this the cooler I need to entertain the Trumps on my pontoon boat?,True
248,Just how insecure do you have to be to buy one?,True
249,Can I hit anyone that buys this in the head with a hammer?,True
250,Is this cooler a suitable substitute for a personality?,True
251,Will it help me find a girlfriend?,True
252,does it have peacocks on it?,True
253,What if the dog can’t read?,True
254,Why didnt the girl come with my order?,True
255,Why didn't the girl come with my order?,True
256,Why didnt the girl come with my order?,True
257,How long will this hat keep ice frozen?,True
258,Is this thing so beautiful to bring with me? Let him love me,True
259,Heyyyyy mangle is a girl duh?,True
260,Does this mangle nit consume you?,True
261,can you lower the price because I don't have that much money,True
262,Seller plzz plzzz plzzz add at least one more plzz plzz plzzz plzzzz I'll do anything to add 1 more thx!,True
263,If I buy 2 will they breed?,True
264,Can you use this as a double sided dildo?,True
265,Can you wield this as a weapon?if I were to arm two people with giant gummy worms could they successfully swing them at each other or would it break?,True
266,So if i order the 2 pack will the black guy come with it?,True
267,Can this substitute a 2' dildo?,True
268,how much can our cat fit insdie of her??? plz respond imprtat,True
269,Im supposed to get it sat. Now they are saying monday. My grandson expecting it sat,True
270,Will this mug make my coffee spicy?  Moreover....will it spice up my life?,True
271,Does Maca really help with the love life?,True
272,Is it magic?,True
273,Will this help me find the meaning of life?,True
274,If i put this in my bedroom will the cia watch me?,True
275,Can this replace my wife?,True
276,Has anyone tried contacting Carol Channing? I’d like to know if that is possible on this model or if it is just the Echo Spot.,True
277,Does it cook breakfast?,True
278,What if i already have several daughters named Alexa?,True
279,Can Alexa show me my future?,True
280,Can I call God and ask him what Google don't know?,True
281,Is this a magic carpet?,True
282,Is this going to become sentient and try to take over the world?,True
283,Can I use this to finally see Alexa laughing at me?,True
284,does this make you a sandwich?,True
285,Can I throw the device in the microwave to keep it warm during the winter?,True
286,Will it have a working self destruct?  None of my ECHO units will willingly blow up.,True
287,How do I tell my butler he's being replaced by a machine I bought online?,True
288,Can the Echo Show replace my wife?,True
289,Why does the boy in the photo look so upset?,True
290,Is this mask packable to take to the Super Bowl?,True
291,Will the Eagles continue to win if I buy one for next week's game?,True
292,Go eagles,True
293,Can I wear my glasses with it?,True
294,If a friend of mine is dying from exposure can I use this lightsaber to cut open the belly of a warm animal & stuff my friend inside?,True
295,Why do kane and undertaker go under the ring,True
296,Why Adam and Eve didn't use this?,True
297,Does this repell ex wives especially lethal ones?,True
298,How did the monkeys apply the heat to these?  I would rather humans heat treat these wrenches.,True
299,Will this filter hurt fry/eggs?,True
300,I went into a store and tried to buy something. but i got arrested. i need real money 4 bail. will this work?,True
301,Can I use this to kill grizzly bears?,True
302,Does this only work with flies that have landed or are you successful shooting them while they're in the air?,True
303,Does this only work with flies that have landed or are you successful shooting them while they're in the air?,True
304,Do you have to hit the fly ''straight on'' to kill them? What if they are on an 'RV wall' and you have to shoot at an angle?,True
305,Does the sexy girl come with it?,True
306,Were any gnomes injured in the making of this product?,True
307,well i can’t hang myself with this,True
308,How much cat litter will this hold?,True
309,I think I may be too poor to buy an ornament like this.  Are there payment plans?,True
310,If this ornament wins a place on my tree will it then broadcast to the other ornaments its plan to win the War on Christmas?,True
311,Will purchasing this ornament help keep me out of an internment camp?,True
312,"Is there ""any room at the inn"" this Christmas???",True
313,"Is the ""great"" in the slogan ""make america great again"" referring to bringing back the ""great"" recession... or the ""great"" depression?",True
314,If I hang this with my mistletoe will I be able to grab more than a kiss?,True
315,I'm really looking to impress my father in law with something special this Christmas... will this be my ticket to finally gain his acceptance?,True
316,I hate this ornament more than roaches stepping in dog crap and the stomach flu. What should I do?,True
317,Is it only an indoor ornament? Can I hang it outside or will it melt the precious snowflakes and ruin Christmas?,True
318,Will it build a wall around my tree?,True
319,What part of china?,True
320,If i buy this will it build me a yuge tree and make my mexican neighbor pay for it?,True
321,Is it yuuuuge?,True
322,What.  The.  F---?,True
323,If I have buyer's remorse can I return it for a full refund or exhange it for a blue one?,True
324,Is this ornament actually a battle helmet for the war on Christmas?,True
325,Does it come with a university degree plan or is it extra?,True
326,Can this ornament be engraved? we wanted to add a 309 for the number of electoral votes that president elect trump received.,True
327,I have no soul and am speaker of the house will I go to heaven if I wear this hat?,True
328,What is the power supply for this ornament?,True
329,"D. trump here....no no too obvious. call me donald t. my question is will this hat keep my ""real hair"" in place?",True
330,Does it glow orange in the distant moonlight?  Also does it come with a complimentary example of how to explain that you're not a racist?,True
331,Can the ornament be impeached before anyone puts it on the tree?,True
332,I want to know if he meant to Make America Grate Again like with a cheese grater and if so what kind of grater to get to Make America Grate Again?,True
333,Are small loans available for this?,True
334,Wish this ornament would make liberals move away? Would it help the crybabies move away?,True
335,I'm worried about how toxic it might be. Is it safe?,True
336,I have some darker undocumented ornaments. Should they be concerned?,True
337,Is it really made in kenya by obama limited inc.,True
338,Can I return it on December 19th? I'm hearing that others are also requesting this.,True
339,Can I make Mexico pay for this?,True
340,I read that if you rub it it would take you back in time when America was Great which date will it be exactly to know what should I pack?!,True
341,Is this ornament going to provide my children with hope for a better tomorrow?,True
342,Are these made by normal slave labour or child slave labour?,True
343,Will this keep me from getting shot while on my morning run in my black neighborhood?,True
344,Can this ornament fit a conical hood atop it? It's shaped kind of like a Santa Claus hat but with eyeholes.,True
345,Does it come with a made in China label inside that you can pull to hear it play &quot;I'm Dreaming of a WHITE Christmas &quot; and &quot;America the Deplorable&quot;?,True
346,Does it come with tiny little hands?,True
347,Is the Hillary ornament made from sour grapes?,True
348,Can I pay $300? $224 feels a bit low,True
349,Why would anyone defile their tree with this ornament?,True
350,Does it come with any twitter comments?,True
351,I am a woman and I'm a bit nervous about whether this ornament is the right ornament for me? Will it grab me in that special way I'm desperate for/??,True
352,Can I hang it next to my Hamilton cast ornaments or will it demand an apology and a safe space?,True
353,If I stick my tongue in a light socket while holding one in my hand will it make me straight?,True
354,Hang the chinesse  flag next to the hat  ho ho ho,True
355,Will it make my tree a racist?,True
356,Will it find a younger tree and move there?,True
357,Will this ornament sell all of my information to Russia?,True
358,Does it come with lies?,True
359,I hung it on my tree right in front of the picture window. A liberal walking by seen it and began to cry. What safe space should I direct them to?,True
360,If I buy this will Mexico pay for it?,True
361,How many lawsuits has this brought up already?,True
362,Is proof of American citizenship needed to purchase this item?,True
363,Will this fit in with the gay apparel I am donning now?,True
364,Can this ornament summon the Devil and bring about Hell on Earth?,True
365,If the majority of Americans don't order this will it still show up at our door?,True
366,Will this match my brown shirt ornament imported from Germany? How about my black shirt ornament from Italy?,True
367,Is there a box of kleenex ornament for the Democrats?,True
368,Wow isn't this stupid?,True
369,Does this help me build a wall,True
370,i want to order this did Hillary Clinton make it unavailable ?,True
371,How many would I need to buy to make America all the way great again?,True
372,Will this pay off my student loans?,True
373,Is the brass made from the balls of the Republican Party who let this guy win?,True
374,Is this tremendous? It looks tremendous...is it endorsed by the kkk?,True
375,"How exactly will this ""make america great again""?",True
376,I'd rather take a sip of Grandma's peach tea.?   It asked my tree for its greencard asked baby Jesus under it for his birth certificate complained t,True
377,Does the hat get impeached if the owner does?,True
378,Is this shiny or is the hat made of bacon?,True
379,Will it fit on my head?,True
380,Other people say this ornament is radioactive and especially dangerous to people of colour women and lgbt people but that must be propaganda right?,True
381,I am uneducated angry and hate everyone. Will this ornament make me feel validated?,True
382,Can it be used as a dick cover if mine is as small as trump's,True
383,Can I wear this ornament on my penis?,True
384,Who  would put out money for this?  Oh yea only the ones who believed what he said. How about a you got played slogan?,True
385,Will this get along with and complement my banana slicer?,True
386,Will this provide me with a career that comes with a wage one can live on?,True
387,Is anyone else's ornament attracting white maggots that are hanging around the trash and feeding on the innocent?,True
388,Will this guarantee a white Christmas?,True
389,Will Putin hang it on the tree for us?,True
390,If I put this ornament on my tree will all the Mexican rapists go home?,True
391,Does the ornament come with a wall?,True
392,Can i not pay taxes on this if i buy one for the whole klan this christmas?,True
393,Will this product require a Serpent's Tooth to deactivate it as a Horcrux?,True
394,Is it water tight? Can it be used to drain a swamp?,True
395,Any chance that it's a Horcrux?,True
396,Does it come complete with a bad combover?,True
397,Are you willingly selling this? Or did he pay you to do it?,True
398,Will I be able to afford this on my blue collar wages?,True
399,Is this ornament so important,True
400,When will the liberal little scumbags move away?,True
401,Is this ornament likely to attack my cat?,True
402,I got this crappy ornament from relatives in the middle of the country.  Is it ok to regift it to Russia?,True
403,Will other ornaments cry pout and protest if they have to share the tree with this one?,True
404,Will this ornament go on a Victory Tour and expect me to pay for it?  Will we all be required to raise our arms in salute?,True
405,Does this qualify as official Nazi memorabilia? Does it come with authentification of some sort?,True
406,Does this come with white privilege included or is that an additional cost?,True
407,Is this big enough for my boy to use as a portable potty,True
408,Its going on my company tree.  Does it come with a free box of Kleenex for the crybaby foot stomping whiners where i work?,True
409,Does the caption on the cap change once it's hung on the tree?,True
410,This sent santa to jail and the elves to an interment camp is there anyway to get them released?,True
411,How do i return this? My Putin ornament will not stop humping it! it is getting messy! :(,True
412,I know a guy with really puffy hair and an extremely swollen head will this hat fit him?,True
413,Will it build a wall around my tree?,True
414,I put this on my tree and it immediately died from environmental hazardous waste. Can I get a refund,True
415,Will this ornament make Xmas great again after I find that Santa left a lump of coal in my stocking and took a Drumpf on the cookies I left for him?,True
416,Could mine be broken?   It falls off the tree when I ask Alexa for my flash briefing.,True
417,Will this ornament withstand climate change?,True
418,As a woman who is only a 4 will this ornament grab me so I can hang it on the tree?,True
419,Does this item contribute to climate change?,True
420,China,True
421,But can it talk out of both sides of its mouth at the same time?,True
422,Why does this cheaply made gaudy ass ornament cost two-hundred-fifty freakin' dollars!?! I can practically smell another lawsuit brewing...,True
423,Where was this manufactured? And did the factory workers get paid?,True
424,Will this ornament be impeached?,True
425,Will purchasing one insure that I get my annual coal delivery from Santa on time?,True
426,I thought this ornament would make my Christmas tree great again but it only seems to be improving the top 1 percent of it. Any way to return?,True
427,Will the administration allow me to purchase this even though I'm an atheist jew?,True
428,Is there a return policy or do we have to keep it for four years once we realize how overhyped and useless it really is?,True
429,As an afam will this ornament make my life better?,True
430,Will I be deported if I don't buy it?,True
431,Is this tax deductible?,True
432,Should I subject it and my other ornaments to drug tests prior to hanging it on my tree?,True
433,I'm a lesbian. I'm assuming this comes with free conversion therapy?,True
434,Do you have to be a billionaire to hang it on the Christmas tree?,True
435,Why did this ornament try to grab my cats?,True
436,I'm not white can I buy this?,True
437,"Will this keep ""Bad Hombres"" away from my house?",True
438,What part of the tree can I hang this off of?,True
439,Did anyone else receive a box -- too yuge by even Amazon standards --with a Slovenian woman and her son inside? They are locked in my bathroom!,True
440,On the back does the ornament indicate when America was great when it stopped being great and when it will be great again?,True
441,"Do you have the same red cap ornament that has the words ""Shut up and Resign!' written on it?",True
442,Will this ornament put a wall up around my creche and will it make Mary and Joseph pay for that wall?,True
443,Will there be any conflicts with my existing tree decorations?,True
444,Can i claim this ornament as a loss on my return and not have to pay taxes for the rest of my life?,True
445,Is this really what Jesus would buy?,True
446,Waitaminute? i don't get it. is amazon paying us 235 bucks to take this piece of crap off their hands? i mean they can't be charging us.,True
447,does this ornament put the Christ back in Christmas?,True
448,So I bought one. It did make my tree great again. But at about 3:30 in the morning my tree logs into twitter and starts whining about things?,True
449,Will I still have health insurance after this takes up residence on my tree?,True
450,Does this come with orange tinted spray tan? Or maybe a bag of cheetos?,True
451,This ornament looks small and simple yet potentially dangerous. How hazardous should we expect it to be?,True
452,Will it make my Christmas tree great again?,True
453,Awwww....u guys mad .?.?.      president trump bi.ches,True
454,Will this make amerika great if factory that makes this pos dumped toxic waste in my drinking water?,True
455,"Why is there a ""report abuse"" button next to each of these answers? i've been reporting trump abuses for 18months and look how much good it did.",True
456,Will my cross ornaments burst into flames if I hang this on my tree?,True
457,Does the hat ornament come with its own very good brain?,True
458,Would this look good on top of a man bun? Asking for a friend.,True
459,My pussy likes to grab ornaments what to do?,True
460,Hi.  Does this ornament have a Twitter account??  I've been in a blessed coma for the past year.,True
461,Will this ornament compliment the other ones that celebrate peace joy good will towards men (and women) or would it go better with the Scrooge doll?,True
462,Could this be used to polish a turd?,True
463,Will this match my hammer and sickle flag?,True
464,Will it grab you?,True
465,Did this turn anyone else's tree into a hate spewing bigot?,True
466,This is a joke right? Something to make us laugh after the 11/8/16 debacle?,True
467,Is there a way to prevent this ornament from suing all of the other ornaments on the tree?,True
468,Can I expect this ornament to deport my fake tree or just build a wall around it?,True
469,Ornament has taken over the house. Help?,True
470,"Who is getting the profits from this ugly thing or is just ""fake shopping"" as in ""fake news""?",True
471,I'm an immigrant (but white) am I allowed to buy this?,True
472,Will it make America great again?,True
473,Will it destroy isis?,True
474,Will this metal hat repel the microwaves the Russians are beaming at us?,True
475,Will it help me to win the War on Christmas?,True
476,My family is voting as to if we should hang this at the top of the tree or the bottom. Will the ornament accept the result of the family vote?,True
477,I put this in my kitchen.  Now all my cabinets are terrible.  Is this normal?,True
478,Will I become uneducated if I hang this on my tree?,True
479,Can I charge it to Mexican credit card?,True
480,Will this ornament apply a penalty tariff on goods originating from the North Pole?,True
481,Does this thing make little baby Jesus very very sad?,True
482,Why would anyone want this for their tree?,True
483,Is there a Hillary Clinton ornament sitting behind bars?,True
484,Will it divorce my tree and leave it for a younger tree?,True
485,It looks bigger than it needs to be. Is it compensating?,True
486,Will it grab me by the pussy?,True
487,If my home equity loan is approved i'd like to order a lot of these ornaments to try out for 30 days in my cellar. What is the return policy?,True
488,If i buy one for my daughter do you think she'll submit to my advances? will this keep dcf away or should i move to alabama?,True
489,Is this item only for mor-ons or can anyone buy it?,True
490,Will it make my shrunken hands look normal?,True
491,Will this fit comfortably over my glory suit hood? i want to impress our grand wizard.,True
492,Can it cure my nephew's flatulence?,True
493,Atlanta journal constitution?,True
494,"¿after a year using alexa now when i ask something alexa answers me: ""i'm tired you always ask the same"" ?",True
495,Does the item come with that woman?,True
496,can this mueller emulsify a president?,True
497,Can this remote control car catch up with Santa's caribou sled?,True
498,If my wife uses it will she attract other women?,True
499,Can I kill a door with this not deer,True
500,Can I call my waifu where ever she is?,True
501,Will your website freeze if I try to buy this item?,True
502,Will this come to life at night and steal my soul? I'm pretty sure it will. I mean look at it!,True
503,Does it come with the child?,True
504,can it do donuts?,True
505,Will I get deported if I use this??,True
506,Would you have sold this if it had been the image of Obama instead???,True
507,Will his toupe come off when I wipe?,True
508,Does it fire you?,True
509,Will this cause swamp butt?,True
510,Just one roll aha?,True
511,Without any claim and I already ordered but I wonder if you got the idea following  a Youtube chat?,True
512,Do you make rolls with david cameron and george osborne on them?,True
513,Just one roll aha?,True
514,Does this work for tiny hands?,True
515,Will the ink from the toilet paper leak on my butt?,True
516,Real this get me superpowers if i use it on me?,True
517,Is this potent enough to use as a fuel for a small reactor and if so can someone point me to an equation to determine weight/energy ratio?,True
518,I really want to go to moscow to meet with putin but the plane is too much. but i have a parakeet how many can do i need to make him an airbus a380,True
