,text,humor
222,Sartene wine is appreciated by wine connoisseurs for its good quality.,False
223,The full name thus became ` Kongl.,False
224,Lu and Lian Hsiang have two children.,False
225,"Polish Flag Day was first observed on May 2 , 2004.",False
226,Most children throw the 1 kg discus.,False
227,"Like other corvids , they may learn to mimic human speech.",False
228,This subtemplate gives.,False
229,A doe generally has one or two fawns at a time.,False
230,These additions may be new and untested.,False
231,See documentation there.,False
232,He is married and has three children.,False
233,There are 2 sports days every year.,False
234,Company in 1891.,False
235,See also Blossom.,False
236,Many ships and lives were reported lost.,False
237,"Crocodiles eat fish , birds , mammals and occasionally smaller crocodiles.",False
238,This was the first time Europe had achieved three successive victories.,False
239,The second rebuilding took a long time.,False
240,"In the first twenty minutes of a fawn 's life , the fawn begins to take its first steps.",False
241,See alto clef.,False
242,It was men like Dattatreya who helped to make this possible.,False
243,His mother was his first piano teacher.,False
244,"I. Every Man Shall obey civil Command ; the Captain shall have one full Share and a half of all Prizes ; the Master , Carpenter , Boatswain and Gunner shall have one Share and quarter.",False
245,"Blind and naked at birth , they open their eyes after about eighteen days , and are nursed until they are one month old.",False
246,"In the 24-hour time notation , the day begins at midnight , 00:00 , and the last minute of the day begins at 23:59.",False
247,"Her first independent production was Diamonds and Guns , a romantic comedy about two friends who go to Las Vegas to find true love.",False
248,"Every stalactite begins with a single mineral-laden drop of water . When the drop falls , it leaves behind the thinnest ring of calcite.",False
249,Let comradeship and fervent hope With one voice make us pray Auspicium Melioris Aevi With God to guide the way.,False
250,The last two or three survivors face a jury historically comprising of at least the last seven players voted off.,False
251,"His best day at the plate was on June 17 , when he hit two home runs and two doubles.",False
252,"The novelist Matteo Bandello observed Leonardo at work and wrote that some days he would paint from dawn till dusk without stopping to eat , and then not paint for three or four days at a time.",False
253,"In the Tokugawa era , every neighborhood had one or two soba establishments , many also serving sake , which functioned much like modern cafes where locals would casually drop by for an informal bite to eat.",False
254,Kayakers and canoers also take to the lagoon and one can often see scullers as well.,False
255,Superimposition of two correlated layers comprising parallel lines or curves may give rise line moirÃ© patterns.,False
256,"Futons must be aired in sunlight regularly , especially if not put away during the day.",False
257,"A set may be neither closed nor open , either closed or open , or both.",False
258,"There are also three new songs on the album : `` The Heart Never Lies '' , `` The Way You Make Me Feel '' and `` Don't Wake Me Up ''.",False
259,It was well east of Bermuda at the time and never would get close to land.,False
260,"Megan Martha `` Meg '' White is an American drummer best known as one half of the Detroit rock duo The White Stripes , with her ex-husband Jack White.",False
261,See link to make sure you know what an international version is.,False
262,Let us live crowned with glory ... or swear to die gloriously.,False
263,"Two men are killed , but one escapes and flees the woods.",False
264,"Hear the noise of broken chains , see the noble Equality enthroned.",False
265,Today Multan is a combination of old and the new Pakistan culture.,False
266,"The stadium went back to its old name , Arena da Baixada.",False
267,One way of visualizing optical depth is to think of a fog.,False
268,He then meets a girl who he thinks is his true love.,False
269,He that shall be guilty of Drunkenness in time of Engagement shall suffer what Punishment the Captain and Majority of the Company shall think fit.,False
270,Gestation is 21-30 days and 2-5 young are born at a time.,False
271,"That is , the first one that is defined and not empty.",False
272,The two women soon develop a strong bond of love and friendship.,False
273,"The Canadiens won the first half , and Toronto the second half.",False
274,A normal tennis game takes place between two of the three contestants.,False
275,"Meowth loves round objects , as well as shiny , glittering things.",False
276,From 2008 it will take place for at least another 7 years.,False
277,Sled dogs are expected to demonstrate two major qualities in their work.,False
278,In 1994 for the first time two women were elected into government.,False
279,Take a look at the welcome page to learn more about Wikipedia.,False
280,`` Let It Go '' appeared on the Set It Off soundtrack.,False
281,Two sections of Lincoln Park Zoo have been set aside for children.,False
282,"Without histones , the unwound DNA in chromosomes would be very long.",False
283,The first bison ever born in captivity was born in Lincoln Park.,False
284,"To date , Bad Religion has released fourteen studio albums , two EPs , three compilation albums , one live recording , and two DVDs.",False
285,The club has only ever played one home fixture at another venue.,False
286,Admitting their guilt for all the war crimes would be one thing.,False
287,The place of birth is the place where a person was born.,False
288,"He spent the rest of his life there , leaving three children.",False
289,Debt consolidation entails taking out one loan to pay off many others.,False
290,I can't think of any reason to mess with that . '',False
291,"Back at camp , Cirie went fishing and caught a sizable fish.",False
292,"What 's more , I say he can make us all rich.",False
293,Niagara Falls is divided into the Horseshoe Falls and the American Falls.,False
294,Used with functions that have done new = abs and lost precision.,False
295,Lucas was born at Morwenstow and had two brothers and two sisters.,False
296,"Its passage left about 79,000 people without power and 144,000 without water.",False
297,"The new version featured a new look , and built-in 3D effects.",False
298,Smiles promote WikiLove and hopefully this one has made your day better.,False
299,Most jellyfish undergo two distinct life history stages during their life cycle.,False
300,"Lee Jinki , born , better known by his stage name Onew.",False
301,"The nature of these eyes means that if one were to peer into the pupil of an eye , one would see the same image that the organism would see , reflected back out.",False
302,"At the high photon energies comparable to the electron rest energy of 511 keV , Compton scattering , another process , may take place , and above twice this pair production may take place.",False
303,"Pyrgopolynices from Miles Gloriosus , in bragging about his long life , says he was born one day later than Jupiter.",False
304,"`` One Fish , Two Fish , Blowfish , Blue Fish '' is the eleventh episode of The Simpsons second season.",False
305,I don't see the point of playing in a band and going just one way when you can do everything.,False
306,They 'd take one look at me and laugh and tell me to home before my mother noticed I was gone.,False
307,"The name water bear comes from the way they walk , reminiscent of a bear 's gait.",False
308,Such events may be better placed on a.,False
309,Red Bull Racing is one of two Formula One teams owned by Austrian beverage company Red Bull.,False
310,"As in many families at the time , Wesley 's parents gave their children their early education.",False
311,"Today is , and the current time is.",False
312,Oars have a flat blade at one end.,False
313,"To grow well , sunflowers need full sun.",False
314,Its tail is also usually tipped with white.,False
315,The distances involved may be short or long.,False
316,It then goes back to the acoustic section.,False
317,"Among other things , they eat Rafflesia fruit.",False
318,Every positive number x has two square roots.,False
319,One edition of his correspondence fills three volumes.,False
320,Infantilism may refer to one of the following.,False
321,Many plants and fungi reproduce asexually as well.,False
322,The tail may be naked or slightly haired.,False
323,The area has a long history going back to the time of Alexander the Great 's invasion.,False
324,Sumbawa lies within the Pacific Ring of Fire.,False
325,It may have markings or may be unmarked.,False
326,It drains much of the water of Pothohar.,False
327,Haydn took two years to complete the work.,False
328,The group gives Wales full access to and.,False
329,Butterflies on the other hand possess fine scales.,False
330,Household debt is the debt held by households.,False
331,The name has been applied to two municipalities.,False
332,It is one of the first such document.,False
333,Hercules says he can't go and the man says he has to because he is Hercules.,False
334,"When all the earth 's fire begins to go out , Hercules and Deianeira must go in search for fire to stop the world from cold.",False
335,It has golden-brown fur and large black eyes.,False
336,It consists three trilogies and three additional books.,False
337,Hercules helps the refugees take back the city.,False
338,"Muskrats spend much of their time in the water and are well suited for their semi-aquatic life , both in and out of water . Muskrats can swim under water for 12 to 17 minutes.",False
339,Each player begins the game with two bishops.,False
340,"A white flag is a common symbol of surrender , as is the gesture of raising one 's hands empty and open above one 's head.",False
341,Innovation may refer to one of the following.,False
342,See the full selection of licensing templates available.,False
343,Gohar Shahi then married and had three children.,False
344,Modern roller coasters take on many different forms.,False
345,Sometime around 1515 Willaert first went to Rome.,False
346,The remaining three teams would complete the season.,False
347,Many protists take the form of single-celled flagellates.,False
348,"However , on election day things had changed.",False
349,This guy didn't just come to play.,False
350,The name Weinfelden is first documented in 838.,False
351,A pair of mandibles lie inside the mouth.,False
352,His crown and face is violet and black.,False
353,"At that time one white maggot comes out of the larvae , suspended by a silken thread.",False
354,"They have two children , Stephie and Max.",False
355,Dee was married twice and had eight children.,False
356,Nine million people watch BBC Three every week.,False
357,The festival take place at Rockefeller Music Hall.,False
358,The second storm struck just three days later.,False
359,The two disc set includes songs from 1980-2005.,False
360,Raisin bread is a bread that contains raisins.,False
361,Sandwich is the home of the Sandwich Fair.,False
362,"They have two children , Grace and Henry.",False
363,Trains run every 10 minutes to Woolwich Arsenal.,False
364,"They had two children , Suzanne and Christopher.",False
365,The writer Karl May was born in Ernstthal.,False
366,"They have a nine-month gestation period , and one or two fawns are born at a time.",False
367,"My Bengal of Gold , I love you.",False
368,Early turbine examples are windmills and water wheels.,False
369,"He also has a tail with a spiked end , as well as having three talon-like toes.",False
370,"Altogether in Africa , two million speak Spanish.",False
371,For full season records see Oakland Athletics seasons.,False
372,"Finally , I wish to speak directly to those who came to London today to take life.",False
373,Do not place it on every possible word.,False
374,"Gauri has two children , Aryan and Suhana.",False
375,The practice of hanami is many centuries old.,False
376,Its tail feathers are iridescent blue-black with broad white tips on the outer two to three pairs.,False
377,"The first 2009 Stock train entered passenger service on 21 July 2009 , and one new train will enter service every two weeks from early 2010.",False
378,Theremin invented another listening device called The Thing.,False
379,It was his first of two asteroid discoveries.,False
380,The first geyser they saw was Old Faithful.,False
381,He turns over and goes back to sleep.,False
382,To that end the Academy publishes two dictionaries.,False
383,There may be two subspecies of the Siamang.,False
384,The two groups have many characteristics in common.,False
385,"They hear a noise and turn around to see that the monster is not dead , but has now grown two new heads in the place where the previous one was.",False
386,"HTST pasteurised milk typically has a refrigerated shelf life of two to three weeks , whereas ultra pasteurised milk can last much longer when refrigerated , sometimes two to three months.",False
387,"`` Nothing to Say '' features drop D tuning , which would become a signature of Soundgarden 's sound on later albums.",False
388,"Chaplin received three Oscars in his lifetime : one for Best Original Score , one Honorary Award , and one Special Award.",False
389,"In other words , half of the children of 1932 would be classified as having borderline mental retardation or worse during 1997.",False
390,"More generally , one may require that flipping a fixed set of bits should change each output bit with probability one half.",False
391,"Hearing dogs may be trained professionally in as little as three months , though many are trained for closer to a year.",False
392,Two sections of Lincoln Park Zoo have been set aside for children . The first is the Pritzker Family Children 's Zoo.,False
393,"Along the way , Timon and Pumbaa meet for the first time and set out to find a `` dream home . ''",False
394,For more about the time zones of the U.S. and other time zones see time in the United States and time zone.,False
395,"Many people have also come to know Leah 's little sister , Lucy who was born with spina bifida and cerebral palsy.",False
396,"Every time one of these stories comes up , like , say , Michael Jackson , when it 's finally over I think , what a relief , now we can get back to real news.",False
397,"Conversion is the transformation , or change , of one thing into another.",False
398,In actuality the VÃ©zinas only had two children and Georges spoke broken English.,False
399,"Three units were built , one two-car unit , and two four-car units.",False
400,"A common year of 365 days has exactly 52 weeks and one day , so consequently the next new year is one day of the week later.",False
401,In those cases the rank of grand cross may come after another rank.,False
402,Live performances of `` Fell on Black Days '' can be found on the `` Black Hole Sun '' and `` Fell on Black Days '' singles.,False
403,Never forget that you take full responsibility for any action performed using Twinkle.,False
404,Kampen has one of the best preserved old town centres of the Netherlands.,False
405,The alternative name of `` Memorial Day '' was first used in 1882.,False
406,Izanagi retorts that a thousand and five hundred will be born every day.,False
407,"Portions of words may be contracted , and many rules govern this process.",False
408,This is the first time anything has placed this well on The CW.,False
409,These features are available to both silver and gold members on Xbox Live.,False
410,"Soon after returning from their reward , Cirie successfully built her first fire.",False
411,Trenchard is recognized today as one of the early advocates of strategic bombing.,False
412,Many states may only recognize another state if it is to their advantage.,False
413,These contain long hydrocarbon chains and a carboxylic acid group on one end.,False
414,There doesn't appear to be any way to make the period optional.,False
415,Western New Guinea is the western half of the island of New Guinea.,False
416,Another issue has been the nudity of children in front of other children.,False
417,It averages 4 feet long but may grow to be 6 feet long.,False
418,"Due to the cold water , the tree has been rather well preserved.",False
419,During the time it was developed to the `` World Money Fair ''.,False
420,"On the anterior end of the fish , there are two dorsal fins.",False
421,It would take another four years until his parents allowed him to quit.,False
422,Many of its early authors were the children of Jewish immigrants from Europe.,False
423,This template allows one to link one twinned town or city with another.,False
424,"Alex Rocco makes his first of three guest appearances as Roger Meyers , Jr.",False
425,"Much like the tail , the claw in apes is no longer necessary.",False
426,"Convection was also slow to build in , with little banding at first.",False
427,He also stated that he believed he wouldn't receive a fair trial.,False
428,"Similar to other summer-themed events , Independence Day celebrations often take place outdoors.",False
429,The legend is that one day two hunters were chasing a wild boar.,False
430,"His particular interest was bird behavior , especially the courtship of water birds.",False
431,"It is like a person who can not walk without legs although he has eyes , and who can not see without eyes although he has legs.",False
432,The last Mamodo standing without their book burnt is the new Mamodo king.,False
433,They extend from the side of the mouth well back onto the shoulders.,False
434,"These have to come last , so that special cases get treated first.",False
435,"Learning that with great power comes great responsibility , Spider-Man becomes a vigilante.",False
436,"Today , Hugo 's work continues to stimulate musicians to create new compositions.",False
437,Every artist or band comes up with their own recognizable sound and style.,False
438,"Red Bull performed well , scoring 11 points after the first two events.",False
439,Sweet Children is the third EP released by punk rock band Green Day.,False
440,Many more open air sites are known such as that at Hengistbury Head.,False
441,"At home , Tweed nurses Slade back to health while the dogs rest.",False
442,"Note that svg icons only look somewhat bad in the old browsers , thus such hand optimisation is only worth the trouble for very widely used icons.",False
443,"To do so , each day they offer the dragon at first a sheep , and if no sheep can be found , then a maiden must go instead of the sheep.",False
444,"Although two newspapers reported Kelly 's last words as `` Such is life '' , another source , Kelly 's gaol warden , wrote in his diary that when Kelly was prompted to say his last words , the prisoner opened his mouth and mumbled something that he couldn't hear.",False
445,"If the company uses proxy servers , this IP address may represent many users at many physical computers.",False
446,LEMON is featured in school textbooks ; there aren't many Japanese who don't know the story.,False
447,"It was also the first season to feature an amputee and not one , but two open lesbians.",False
448,A good drop shot travels such that the opponent is unable to run fast enough to retrieve it.,False
449,"His mother was half Indian , born to a Punjabi father Sardari Lal and an English mother Vera.",False
450,"In recent years , Cadiz has become more of a place to work than a place to live.",False
451,"`` Tomorrow Never Knows '' is the sixth single released by Mr. Children on November 10 , 1994.",False
452,"His String Quintet for two violins , viola and two cellos is also considered a first rate work.",False
453,"These templates work similarly to and , but they don't make the template name into a link.",False
454,"The wood is easy to work and the grain is straight with long , clear sections without knots.",False
455,"They choose to come to London , as so many have come before because they come to be free , they come to live the life they choose , they come to be able to be themselves.",False
456,"Rise Against released their first two records on Fat Wreck Chords , and their next two on Geffen.",False
457,"The region has much reddish sandstone , which may have given rise to the name `` Edom ''.",False
458,"One month later , she claimed three gold medals at her first appearance at the Biathlon World Championships.",False
459,Also see time value of money for a more detailed description of how financial capital may be analyzed.,False
460,"Brackish water is water that has more salinity than fresh water , but not as much as seawater.",False
461,It covers roughly 545 million years and goes back to the time when diverse hard-shelled animals first appeared.,False
462,"Payton was one of three children born to Edward Charles Payton and Alyne Payton in Columbia , Mississippi.",False
463,Kaltag has a week long Stick Dance Festival every two years that draws visitors from many neighboring villages.,False
464,Only one passage of Front-Cover Text and one of Back-Cover Text may be added by any one entity.,False
465,"Lucretius used the word in the sense `` everything rolled into one , everything combined into one ''.",False
466,"However , depending on the operating system , a context switch may also take place at this time.",False
467,"Oat bread was first manufactured in England , where the first oat bread factory was established in 1899.",False
468,"The Cape May Bird Observatory was founded in 1975 in Cape May , New Jersey , United States.",False
469,Both men and women use physical attractiveness as a measure of how ` good ' another person is.,False
470,"It was the last great work of Lange before he died , and his most famous book today.",False
471,Its name comes from the Spanish words for `` shrub '' and for `` little grape vine . '',False
472,"At that time , the law allowed the elder Dumas to take the child away from his mother.",False
473,"During rush hours , trains run roughly every 90 seconds on most lines . At other times during the day , they run about every two to three and a half minutes , and every six to ten minutes late at night.",False
474,It features two new songs from Phil Collins and takes place during the song `` Son of Man '' from the first film.,False
475,"He would make his head touch the floor and pray to her daily , and while dying he would pray throughout the day.",False
476,"The Eurasian Wolf , also known as the Common Wolf , European Wolf and Carpathian Wolf is a subspecies of the Grey Wolf.",False
477,"Hercules knows that humans can not survive without fire , and if he does not get the Torch back all life will die.",False
478,He went on to say that energy use would rise `` because there would be more lights on in the early morning . '',False
479,"Towards the end of his life , contemporaries considered him more of a children 's poet as many of his readers were children.",False
480,One of the few things that is known of FuzÃ»lÃ® 's life during this time is how he arrived at his pen name.,False
481,"V. That Man that shall strike another whilst these Articles are in force , shall receive Moses 's Law on the bare Back.",False
482,He started on Opening Day of the 1996 season as the starting shortstop and hit his first major-league home run on that day.,False
483,Many old Syrian American families have lost their linguistic traditions due to the fact that many parents do not teach their children Arabic.,False
484,"In the last portion of the third chapter , Mahesvara alone is said to pervade reality and shine in every heart of man.",False
485,"The couple had three children : Anna Christina , born 1983 , Philip Immanuel , born 1985 and Laura Helene , born 1986.",False
486,"As the front pair wear down and drop out in pieces , the back pair shift forward and two new molars emerge in the back of the mouth.",False
487,"For three days Juno sat fuming , still trapped in Vulcan 's chair , she couldn't sleep , she couldn't stretch , she couldn't eat.",False
488,The contestants were told that there were two immunity necklaces on the beach : one for the first man and one for the first woman to claim them.,False
489,"Cenote water is often very clear , as the water comes from rain water infiltrating slowly through the ground , and therefore contains very little suspended particulate matter.",False
490,"Their first choice for a name was `` Carnival Records , '' under which they released two singles before discovering another label had taken the Carnival name first.",False
491,You feel like fans have paid their money and they expect you to come out and play them your songs like the first time you ever played them.,False
492,"When two monosaccharides undergo dehydration synthesis , water is produced , as two hydrogen atoms and one oxygen atom are lost from the two monosaccharides ' hydroxyl group.",False
493,"That is to say , there is at least one whole day during which the sun does not set , and at least one whole day during which the sun does not rise.",False
494,"The two men go inside to get a drink , Iolaus tells Hercules that he met a man who taught him some new moves that allow smaller men to overpower a bigger man.",False
495,Maybe I won't get hired in some things.,False
496,His name may refer to the scorpion goddess Serket.,False
497,"Like , this one lets you know the date , time , and the amount of articles on Wikipedia.",False
498,He used a mixture of cow urine and water.,False
499,Simba shows Nala around his home and the two begin to fall in love.,False
500,"Elections take place every three years , with one-third of the judges retiring each time , in order to ensure continuity within the court.",False
501,The Great Seal was first used publicly in 1782.,False
502,Pluto received every vote.,False
503,Early processor designs would carry out all of the steps above for one instruction before moving onto the next.,False
504,"In 1987 , friends Billie Joe Armstrong and Mike Dirnt , 15 years old at the time , formed a band called Sweet Children.",False
505,Studies have shown that hallucinatory experiences take place worldwide.,False
506,"I drink alone , for no friend is near.",False
507,This is done so that you may compare the old and new outputs side by side in the future.,False
508,He then went on to say that nothing good ever came out of Scranton.,False
509,Her mother is Ena.,False
510,"The wing primaries and tail are strongly barred with black , sky-blue and white.",False
511,"The first two conventions used German , and the last conference used only VolapÃ¼k.",False
512,The natives believe they come down with the rain.,False
513,Sharks may get cancer.,False
514,Morena Baccarin auditioned for the role and two days later was on the set in her first television show.,False
