,question,humor
89,If I purchase 10 of these will I still get free shipping?,False
90,is it yellow though??????,False
91,Size of the box? I need to know for shipping options,False
92,Which stand is included in this purchase: the bronze or the black?,False
93,"I didn't see any storage ottomans but I love the 30"" distressed vegan leather ottoman. Does this come with storage?",False
94,"Will these magnets hold a blind 25"" wide x 68"" length?",False
95,Could puppies use it?  Trying to house break one now,False
96,What is the exact density of this mattress? Is it at least 9?,False
97,"This ad states ""Twin-Pack"".  Does it mean it comes 2 in a package?",False
98,"Hi i'm 5'11"" 206 lbs with 34 waist. should i get a large or xl? tks...",False
99,are the pockets deep? will i lose my cell/wallet seating in deep bucket seat?,False
100,Do you sell these with only the punisher logo?  do you have plans for other logos? i love these tanks and hoodies but i cant wear the logo everyday,False
101,I purchased one of your chicken suits and need a paper invoice. My Order# 114-3001492-3022627,False
102,What region code is the U.s version?,False
103,will this proform better than fallout 3. no freezing?,False
104,Steam has a bunch of preorder bonus content. if I preorder the PS4 version will I get that bonus content? trying to decide if I should swap to ps4,False
105,Will the game include a physical poster of the perks chart? bethesda said to ask retailer if it includes it,False
106,So how does the download code work? Will I receive a code instantly to begin downloading the game prior to release or will I receive a code card?,False
107,Ok.. seriously all these great games coming out at once mg v mad max and this? decisions decisions!,False
108,Thinking about buying this game. How bad are the glitches and crashes?,False
109,Will the PC version be like skyrim which was effectively a carrying case for a digital download code or will it actually contain 3-4 disks?,False
110,Hello the game has subtitles in spanish? i live in south america,False
111,Is this region coded? As in can I play on a PS4 from a country other than US?,False
112,Is it in its original box,False
113,Does it come in a benghazi edition ?,False
114,how tall is this figure?,False
115,Will I receive an email confirming my purchase or is that pre-deleted?,False
116,Can you get it in Orange?,False
117,are the parts movable,False
118,We have a store and are interested in a large quantity.  Please call the store ask for Mark 215-396-1418 or email at everydollarcounts@verizon.net. Th,False
119,The battery in the image says 4000mAh but the description says 3000mAh. Which is it? Will both work?,False
120,is this a wooden board?,False
121,What do the hidden tally marks on the board mean?,False
122,I have this small 1and half inch plastic with a small chip which got a ojoui  board on it half inch by 3/4 inch . What is it?,False
123,can I use this by my self? or do two players have to move the planchette?,False
124,Hi is that a wooden box with hinges? or picture on card board? is the actual board a board? or cardboard that folds up/out? The Planchette is made of,False
125,Does  it even work or is it a gag  gift,False
126,is this a wooden board?,False
127,Is the winning moves classic ouija board game made by winning moves better than this one?,False
128,How do you change the handles I already broke a drill bit tryna get the screw out,False
129,Is it semi automatic? Does it come with magazine? Could I get details on the rifle?,False
130,"What type ""coffee beans""?  Arabica Columbian Civet Kopi?",False
131,I want ground coffee how do I order that instead of whole beans it doesn't give an option?,False
132,Is it tomorrow?,False
133,will this be able to play ether  wii u games or 3ds games?,False
134,Am I the first to question the Switch?,False
135,What do the ports on the side of the console do?,False
136,Will Wii U pro controller be compatible?,False
137,How much money will the system cost?,False
138,How do I know if this is the neon or gray version?,False
139,Anyone else think that Nintendo will finally put gaming chat on their newest console?,False
140,Will one switch be able to swap between multiple docks?,False
141,Please give me this,False
142,Hoping they announced wii u pro controllers on it? because i'm getting a procube controller soon.,False
143,Do you think we will have a choice between the neon version or grey? I just preordered to make sure I get it on launch but wish I could choose neon.,False
144,I'm hoping to find Optimus prime I heard this was the closest option to a transformer. Is it true?,False
145,Its very interesting but i wonder were this leaves the 3ds handhelds?  will nintedo continue its handheld market?,False
146,Is there approximate price of Nintendo Switch?,False
147,can the blouson top be purchased with the swim skirt instead of the high waist bottoms?,False
148,Is the juice organic?,False
149,do they have a gluten free version?,False
150,I baked a pizza on this griddle and used a pizza cutter to cut the pizza. Is it still safe to use the pan with those scratches on it?,False
151,can you watch live news,False
152,Can you communicate between the indoor units?,False
153,Can this be hooked up to regular 150 -175 PSi Compressor?,False
154,I'm a 38-40DD will it cover enough?,False
155,if i order it will it be before holloween,False
156,When I turn off the car or the AC there is a loud clicking noise what could this be?,False
157,"What advantages does this ""tele-vision"" have over say.. a cinema? Which I could also afford.",False
158,Does it come with samsung stock options? I'll take it for 0.5% of the company if so,False
159,Can I get this in ivory trim?,False
160,How many of these to build a 360 degree set up?,False
161,Are the buttons on the remote easy enough for small children to operate or do you recommend I buy an inexpensive One for All remote to go with it?,False
162,Are the antenna the extendable kind? (I hope so coat hangers and tinfoil are so tacky!)  And will it pick up scrambled cable in particular boobies?,False
163,Is the $239 offer to have it professionally mounted a per minute or per TV rate? Do I get a bulk discount on mounting for buying more than 1?,False
164,Will this be available for subscribe and save soon? How much of a savings will I get?,False
165,Two questions: Does it come with wifi? Can I get prime shipping at checkout?,False
166,Is this investment EMP protected?  Do,False
167,I tried to charge this to my food stamps card and it was rejected i think because i'm not an illegal. Is there a workaround for this?,False
168,I noticed batteries were included with the remote now are those Duracell or Energizer?,False
169,Does this tv have a sleep timer?,False
170,Does this TV also include the Theatre? or is tat also a seperate purchase along with the camera?,False
171,Could you connect several of them together to form a circle?  I'm interested in putting in a surround system.  Thanks!,False
172,Is its thermal exhaust port (right below the main port) ray shielded?,False
173,Going get this weekend this tv :),False
174,Does this monitor include a 12 volt adapter for in car use?,False
175,Does it come complete with Smellovision?,False
176,Not even a 240hz refresh rate?  What a piece of garbage!,False
177,How about ship out of the United States of America?,False
178,Why does this cost $120000 ???,False
179,Does it djent?,False
180,I'm thinking of using two of these as secondary displays for my iMac. Is the color reproduction suitable for a future graphics pro?,False
181,How many of these exist in the world and where are they?,False
182,where can I purchase the mount to mount on my wall for 105S9 tv,False
183,$11999999 really ! ! ! ! ? ? ? ?  ?,False
184,The roof of my house got blown off  and I would like to replace it with this TV so I can watch the news on my ceiling. Is it roof mount friendly?,False
185,Is there a slot on the side of the TV for my Atari 2600 game cartridges?,False
186,Has anyone actually bought this?,False
187,Do you know when this TV will be back in stock? I will be getting some money from my house and I want to watch some soap operas!,False
188,Is it compatible with my laser disc collection?,False
189,"Is this the most expensive product on Prime? (excluding ""mistake"" prices)",False
190,Are there any drawbacks to owning this beautiful display?,False
191,"Do I need to pull permits from the county to install?  After I install will the tv gets its own address and be ""Zestimated"" on Zillow?",False
192,I tried to charge this to my food stamps card and it was rejected i think because i'm not an illegal. Is there a workaround for this?,False
193,Does this TV play the Gameshow Network?,False
194,Is there anyone out there who has actually bought this who can tell us what it's actually like?,False
195,What??????  The voice and motion camera are sold seperate.  That is a deal breaker.,False
196,How many of these to build a 360 degree set up?,False
197,Has anyone actually bought this beast of a television? If so I must ask.. why?,False
198,why do they call it a tv set when there is only one?,False
199,Does it include an NTSC tuner?,False
200,does this tv come with rca hookups so i can connect my vcr?,False
201,I have a coupon for $5.00 off my entire order will Amazon accept that with this purchase?,False
202,I tried to add it to my cart but it wouldn't fit. Now what?,False
203,Is this the most expensive item on Prime?,False
204,"Hey wait a minute...why don't any of the reviews say ""Amazon Verified Purchase""??? Hmmmm?",False
205,Is there a price match available?  i found this for five dollars cheaper at a local hardware store!,False
206,Is the TV available for Prime shipping?,False
207,will someone buy me this? email me at flyntv@gmail.com,False
208,I'm part of the .001% but live in a state where Amazon charges sales tax.  Is there any way I can get out of paying that?,False
209,Are all of these questions genuine?,False
210,Is it HD ready?,False
211,Does this include the power cable?,False
212,"I'm debating getting the 85"" or the 105"". Is the extra 20 inches worth the extra $80k?",False
213,Does this support Teletext and will I need to turn less pages? Thanks,False
214,does this TV come with a life time warranty?,False
215,Help I want to mount two of this on my desk what dual-arm desk-mount should I use?,False
216,Does this TV have a car mount? I what to put this rather small TV in the back for my kids.,False
217,I just found out it is a dollar cheaper at Walmart.,False
218,Is this investment EMP protected?  Do,False
219,Will it fit my studio? I am living in a small studio (1 room). Because of my big bed only 2x0.5m was left.,False
220,Concerned... will the curved box fit in my mailbox or should I order one of those too?,False
221,I wanted to add this TV to my home insurance but they rejected saying you cannot include gadgets that cost more than the house. Should I return this?,False
222,Why is the refurbished unit priced at $229999.99 (or $110000 more than the new unit)?,False
223,Will Amazon allow me to pay for this with five credit cards?,False
224,Does the remote come with batteries??,False
225,How do you open this for tacking?,False
226,What is the strawberry thing,False
227,Will the case work with an extended battery on the phone?,False
228,If I order it today will it come on Halloween?,False
229,Can you make a cookie cup with this to fill with milk?,False
230,Can i order it from Italy? Are there any shipping cost?,False
231,Does it only look on your X chromosome or both y and x chromosome,False
232,Does this test only work on adults?,False
233,Does this test kit have an expiration date? i want to take advantage of the prime sale on amazon and give it as christmas presents.,False
234,How many volt?,False
235,what is the return policy?,False
236,How Many Calories In It?,False
237,Do you have these in adult sizes?,False
238,What material is made of?,False
239,Is the hammer hollow? If so could I have the dimensions of it. Also does the handle come off,False
240,Would this be age 5 appropriate or a younger toddler age?,False
241,Does this cooler contain any vibranium? I'm alergic.,False
242,What is the country of origin? it's missing from the product description. my movie production company needs 200-300 of these next month but i need this info before submitting a po.,False
243,Is there a requirement on how big of a douche I must be before I buy this cooler?,False
244,lol why are all of these reviews just people being mad that they can't afford a quality item?i mean it's made with gold. hence the pricing.,False
245,Will this fit in the trunk of my Lambo?,False
246,How many douche bags actually bought this cooler?,False
247,Good lord..... Why does this cooler cost so much?,False
248,Where do you plug it in? This is one of those coolers thats also a scooter right?,False
249,What do you do with it that you can't do with a 50 dollar cooler?,False
250,Does this cooler contain any vibranium? I'm alergic.,False
251,Can you show me the pitures of the batteries that are suppose to be used with it?,False
252,What is on the reverse side of this?   Is it reversable?,False
253,Are these double sided? If not what does the back look like?,False
254,do the feet fit into the tail?,False
255,What  age would these be for?,False
256,Can this be washed in a washing machine?,False
257,why would you charge nearly double the price?,False
258,At the party i want to play the role of super polaris hero lorna dann. i need such props. is this wig the same as my superhero?,False
259,Is it 6 inches,False
260,Make it lower 15$ for a plush? Make it 2$,False
261,Is its funko,False
262,Add some more plzzzz,False
263,Who dat man plz,False
264,Will it melt if ship to Malaysia?,False
265,Does it come in a box??? And will it fit in a mailbox...,False
266,I ordered the two pack and after 2 months it hasnt come yet. Please resend the product,False
267,How much will it take (money) to Kuwait,False
268,How Many Calories In It?,False
269,I can only eat kosher stuff so is it kosher,False
270,What is the capacity?  11 oz?  15 oz?  Other?,False
271,All reviews...for free products?,False
272,Why is it 100.00,False
273,What is needed for it to work,False
274,What would be the upside to getting this over something like the Fire HD10 tablet which is much cheaper?,False
275,Is video and audio being streamed to ANY government intelligence military think tank university corporate entity without permission?,False
276,Screen is white and does nothing,False
277,can you see utube videos,False
278,Can you see your echo show camera on the cloud app?,False
279,Has you tube access been added?,False
280,can i buy an alexa show and take it to work and still control and monitor my network at home ?,False
281,Does it integrate with samsung smarthings or wink hub 2?,False
282,Can i play jeopardy with echo show?,False
283,why you dont send to mexico,False
284,How do i have alexa say ok again?,False
285,how can I get my echo show to nave a brighter screen it is very dark,False
286,why wont my echo show respond,False
287,Can it connect to music speakers,False
288,Does it instruck you how to set up,False
289,Will this fit a folder?,False
290,Will the colour of the mask rub off on clothing?,False
291,do you make a Doberman mask?,False
292,Are these masks Eagles approved?,False
293,If I order today will I have it for the game on Sunday ?,False
294,is the handle metal or plastic,False
295,Do u have Aj styles wwe figure?,False
296,Would this keep frogs out also? I hate them in my flower beds.,False
297,Does this product repel copperheads?,False
298,Where are these 'Goplus Adjustable Wrenches' made?,False
299,How well does it stick to the tank? The last one I bought another brand does not stick at all.,False
300,Do you have other types without the large disclaimer on them to use for medium to close up shots in film?,False
301,Where can I get replacement string (our Fly Shooter is very old it still works even tho the string is shreded)?,False
302,Does this work with roaches or other crawling bugs?,False
303,How fast does this thing shoot? Really kills flys up to 2 feet?,False
304,There's a big hornets nest on my porch should I use this to get rid of the hornets? Would it be effective if I shot it at the nest?,False
305,What telescopic pole do I buy to fit my aqua broom?,False
306,What size is it?,False
307,Is it on purpose that the,False
308,Two hundred and fifty dollars?!?!,False
309,Do you ship to Moscow?,False
310,Conflict of interests - Amazon should remove from site!,False
311,Will a white sheet fit over it?,False
312,Does it come in Orange?,False
313,If there are only 9 left how many were there to start with? I need to be prepared for what might be waiting in my stocking.,False
314,As a woman can I purchase this item all by myself?,False
315,Please can i return this? while i didn't actually order it somehow it has ended up at my door.  will pay anything to return.,False
316,Is this ornament made in jhina?,False
317,What part of the ornament should I grab it by?,False
318,I am allergic to Cheeto dust.  Has the ornament been properly sanitized to avoid this allergen issue?,False
319,Is this made in America?,False
320,Where is this manufactured?,False
321,Can it be shipped to the UK as there is a special trading relationship?,False
322,is it huge?,False
323,Where is this made?,False
324,If I order something else and this shows up can I get a refund?,False
325,Where is it made,False
326,Where was this made? I'm guessing China.,False
327,Made in china,False
328,Where is this made?,False
329,Is this ornament environmentally friendly?,False
330,"Why does it get less karats from 24k in ""description"" to 14k in ""features and details""?",False
331,How bigly is it really?,False
332,If I purchase this ornament and regret it tomorrow can it be returned?,False
333,Is this a joke? It seems like a big joke. If it isn't how disappointed will I be?,False
334,Is it bigly yuge?,False
335,Can you get this shit off amazon.  Will boycot until you do,False
336,I have some Mexican ceramic tile ornaments; can I hang these both on the same tree?,False
337,Is it bigly?,False
338,Is there a way I can order this before paying and then offer 10% of the agreed upon price?,False
339,I received too many of these in my order.  Will there be a recount?,False
340,Where were these made?,False
341,Does this come with its own white hood or is that an add on item?,False
342,"Why does it get less karats from 24k in ""description"" to 14k in ""features and details""?",False
343,I've heard that this keeps changing position on the tree.  Is that true?,False
344,OMG this goes beyond tacky and digusting what kind of people buy it?,False
345,Where is this made?,False
346,Did you see the price tag on this puppy? $249.99!!  Oh but wait.  That's okay 'cause there's free shipping.,False
347,Where is this made?,False
348,Can I have this ornament shipped internationally... I have a friend in Mexico that wants one?,False
349,Can this be used elsewhere?,False
350,Where is it made,False
351,Can I put this next to my other presidential ornaments?,False
352,Will I be able to display this ornament when we're rounded up and sent to the camps?,False
353,Is it as good in real life as it looks in the photo?,False
354,How can I trust these reviews? It seems like they have been swayed by the biased media.,False
355,Can it be shipped to the UK as there is a special trading relationship?,False
356,Where is this made?,False
357,are any of the reviews posted written by a 'verified purchaser'?,False
358,Can I get without all that gold it looks gaudy and tasteles?,False
359,Where is it made?,False
360,Can I return it?,False
361,Can I hang this on any tree or do I need a special sturdy tree?,False
362,This is a joke right? Makes me want to cancel my prime membership!,False
363,Where is this manufactured?,False
364,I wanted a different ornament but received this one. Can I return it?,False
365,Is it dishwasher safe?,False
366,Conflict of interests - Amazon should remove from site!,False
367,Where is this ornament made?,False
368,Gold-plated brass? How is this worth $250?,False
369,Is it rigged? It looks rigged.,False
370,Does it sniff loudly?,False
371,what size is this? Dimensions,False
372,Do I have to pay for it if I'm not satisfied?,False
373,Can I get the slogan printed  in Aribic?,False
374,Where is this made?,False
375,Can it be left outside in all weather?,False
376,Has anyone actually purchased this ornament and why does Amazon allow all these fraudulent reviews?,False
377,Are you sure it's safe around 13 year olds?,False
378,Is this made in Gyena?,False
379,Does it come in white in more of a hood shape?,False
380,Can this item be returned?,False
381,Does this ornament come with a Confederate flag?,False
382,Can I order this on The Cyber?,False
383,What is the purpose of it?,False
384,Are there any real reviews for this?,False
385,Does this come with matching  russian dolls and gloves for tiny hands?,False
386,Is it true that millions of people reviewed illegally?,False
387,Can I get a tax deduction with purchase?,False
388,Will this Ornament build a wall around my tree to keep the ornaments I got from friends in Mexico off the tree?,False
389,Is this ornament made in jhina?,False
390,Are delivery promises valid?,False
391,Why did Amazon remove so many reviews from this item?,False
392,Country of origin,False
393,How can I give customer reviews five stars?,False
394,Do you ship to Moscow?,False
395,Can I order this in orange?,False
396,Will this be available before Christmas or do i have to wait till Jan. 20th 2017?,False
397,If I order is there some sort of guarantee? My Brexit bulbs haven't arrived yet and the manufacturer apparently still hasn't designed them.,False
398,Does this come in all white?,False
399,My credit card was charged for one of these. I don't have the item as we never ordered one The bank said the seller lives by a swamp. Can anyone help?,False
400,Will this ornaments fit in orange tiny hands?,False
401,is it huge?,False
402,Will profits be used to return lands to indigenous peoples?,False
403,"Do you have ""we shall overcomb"" ornament?",False
404,made in china?,False
405,Is there an Armenian version?,False
406,Is it returnable?,False
407,Please can i return this? while i didn't actually order it somehow it has ended up at my door.  will pay anything to return.,False
408,In the description it says 24kt gold and in the item details it says 14kt gold. Which is it. Who is making it and what country is it made in?,False
409,I am allergic to Cheeto dust.  Has the ornament been properly sanitized to avoid this allergen issue?,False
410,Is the trump hat ornament made in the USA,False
411,Where is it made?,False
412,Why is Amazon taking down reviews?,False
413,How tiny are the hands on this ornament?,False
414,Is there any way we can get a new ornament my mid Dec instead? Please. Help.,False
415,Most of my property taxes go to local public schools. Will this ornament inspire the little moochers to get a job and pay for their own schooling?,False
416,My Republican friend purchased this ornament for me but I want to exchange it what is your exchange policy?,False
417,Would this be a suitable gift for a university student?,False
418,Can I take my other ornaments and move them to,False
419,Where is it made?  What company is profiting from this?,False
420,Does it come in Orange?,False
421,"I ordered the ""I'm with her"" ornament but got this instead. What is your return policy?",False
422,Two hundred and fifty dollars?!?!,False
423,Does this ornament come in different colors?,False
424,If I don't like this ornament can I return it?,False
425,Is this product made in Jynna?,False
426,What's the best way to get a favor from Hillary Clinton email or donation to the clinton foundation?,False
427,Is this ornament endorsed by the KKK?,False
428,Can I send this back I think it is fake?,False
429,Sets me back $200 now but are there any long-term costs?,False
430,Do you understand that This product is objectionable!,False
431,Does it go well with colored lights?,False
432,Can you order it modified in the shape of a nunce cap?,False
433,Does this come in Orange?,False
434,Is this red or orange?,False
435,If I try to post a review after purchasing this product will it involve vandalizing a star?,False
436,Does it come with a certificate of authenticity,False
437,If there are only 9 left how many were there to start with? I need to be prepared for what might be waiting in my stocking.,False
438,"Would this make a ""great"" secret santa gift?? or would the new Bernie book and an NAACP donation (in their name) be better??",False
439,Is it safe for children?,False
440,I am appalled that Amazon perpetuates this Trump hateful stuff. Please stop.,False
441,What is the power supply for the ornament?,False
442,I have a 15 year old daughter is this item kid friendly?,False
443,Is this item bigly or big league?,False
444,Where was this made?  Hong Kong?  China?,False
445,Does this ornament come with all of these Hillaryous comments and questions?,False
446,Is delivery available to the inner city?,False
447,Is this ornament impeccable? Is it hard to hang?,False
448,What is the return policy before Jan. 20th?,False
449,Is this ornament made in Jy-na?,False
450,Does this item come with turd polish?,False
451,I hate complex problems can you answer this with something that sounds unbelievably beautiful?,False
452,Is this ornament made in the US or China?,False
453,How bigly is it?,False
454,Is there a way I can order this before paying and then offer 10% of the agreed upon price?,False
455,What country was this made in?,False
456,Can I remove the Trump name from this ornament? It's embarrassing.,False
457,Do I have to pay or can I just promise to and renege once it's delivered?,False
458,Why do democrats insist we republicans are responsible for their beloved kkk and why are they so triggered by a 'greatness' slogan made for them too?,False
459,Will the words on this be spelled correctly? I've noticed that most pro-Trump writing is riddled with spelling errors.,False
460,Is it really made in China,False
461,Is this ornament safe for cats?,False
462,If I don't like this ornament can I return it?,False
463,Is it Huge?,False
464,Can I get the all white version?,False
465,Does it come with teeny little balls?,False
466,who profits from the sale of this ornament?,False
467,Is that two dollars and fifty cents?,False
468,Did this ornament get all positive test results?,False
469,If I don't like it will I only get a partial refund?,False
470,How many child laborers in china got paid 2 cents a week in illegal unsafe  working conditions to create this ?,False
471,Can I return it?,False
472,If I order something else and this shows up can I get a refund?,False
473,is it Cheeto orange?,False
474,Do you offer this in blue?,False
475,will you please donate to recount effort - https://jillstein.nationbuilder.com/recount,False
476,What does the slogan mean?,False
477,Is this made in America?,False
478,Why is this only available in XXS?,False
479,Is this ornament environmentally friendly?,False
480,The price is bs national news said $149.00,False
481,does this come,False
482,Is it lined with tinfoil?,False
483,Does it come in orange?,False
484,So any kind of reviews are allowed now? How about that.,False
485,I thought it was red but it's actually orange.?,False
486,Is this made in America?,False
487,Do the proceeds get donated to those that are in need like the homeless foster children the poor or middle class etc.?,False
488,My guess this cap comes broke is non refundable?,False
489,How bigly is it really?,False
490,Why is Amazon allowing all of these obviously fake reviews? That is an excellent question which Amazon should answer.,False
491,Is it made in China?,False
492,My fire tablet has this yellow/orange light on the corner's.   is that normal ???   i just got it last week.,False
493,Does it do wordprocessing,False
494,Doea it come with a y apps for writing.,False
495,Can it be used with 200V power source? I know it says 120V but many products are designed to work with wide voltage range even if it's not mentioned.,False
496,Does it come with recipes and ideas for use?,False
497,How far can the syunt car remote range be?,False
498,Since product is made with meo-est a chemical found predominantly  in cancer patients is this product safe?,False
499,Ok so now I know what zeroing is Now how do you do it? I need to know all.  I am not experienced in guns.,False
500,Does this game support any other controllers besides the tablet?,False
501,Does it have preinstalled game with it? Thanks,False
502,How tall is this figure?,False
503,Can you fit a queen sized airmatress in this?,False
504,What is the scale size ?,False
505,How many sheets are in each roll?,False
506,Is it soft extra soft or hard. I have sensitive skin,False
507,Do you still make the hillary version?,False
508,When will this be back in stock?,False
509,Just one roll?,False
510,Whoever sell this is not american probably isis  shame on you,False
511,Is the entire roll printed with the pic?,False
512,What ply is this TP?,False
513,Can this be returned?,False
514,How many sheets are in each roll?,False
515,Does this come in a box? or what packaging is the TP in?,False
516,is it real?,False
517,Is it real,False
518,Seriously I'm designing 5 cloud chambers for a class lab. Is there enough ore to divide into 5 small but manageable pieces?,False
519,do people really buy these things? I mean was this really the safest thing to put on amazon?,False
520,How do you store this safely inside of a home?,False
521,Is this Made in the USA? Is it a Koch Brothers product? Is it an Open Carry product?,False
522,Why is it allowed to buy uranium ore when we know how destructive it can be?,False
523,How much comes with it?,False
524,Can this be pulverized into a paste for use as an exfoliator? Thanks!,False
525,Shall i wait to buy the new 239 model or will it take long before being released?,False
526,Will they ship to Iran?,False
527,Is it nut free?,False
528,What is the range of cpm that can be expected from the sample?,False
529,I just want to know if this is serious or just a novelty item.,False
530,Will this harm me?,False
531,Is this Uranium 238 or Uranium 235?,False
532,Does it spread well with a knife?,False
533,I need to replace my Illudium Q-36 Explosive Space Modulator. Would this be a compatible alternative?,False
534,Hi yes is there a limit i can buy i live in the middle east and need fast ??,False
535,How bout shipping to Malaysia?,False
536,Real Question: Is this product output enough radiation to harm me or my family?,False
537,how big is the rock?,False
538,is this real? and if it is will it hurt me if i get it? (from the rads),False
539,is this yellow green or black? judging by the count and the price there probably about 5 pounds in the can,False
540,is this real,False
541,is this actual uranium ore?,False
542,Can this be gift wrapped?,False
543,How do i dispose this,False
544,Can this be shipped to the United Kingdom?,False
545,I bought 64328 cans  last month they arrived promptly (thank you) but we lost the instructions to our centrifuge do you have a recommended rpm?,False
546,Is this Uranium 238 or Uranium 235?,False
547,is it possible to send this to germany without problems with the customs?,False
548,how much is their?,False
549,Does this rock give off enough radiation to produce 1-2 watts using a radioisotope thermoelectric generator?,False
550,Why would you sell this. I understand for scientists and stuff but do you realize how dangerous this is.,False
551,Ok i've been collecting element and i've stumbled across this and looking through comments with stupid questions that really are not even a real question. i'm asking whether or not if this is dangerous or not i understand that it has a low cpm but if the alphabetaor gamma radiation is dangerously enough to cause nausea or etc.,False
552,Questions in short- harmful in anyway How to handle? Handle with what?license exempt mean no need license? Legal in wisconsin?can havein open (desk)?,False
553,is this legitimately Radioactive?,False
554,is this legal,False
555,If I order this at the same time as the RadSticker Peel 'n Stick Radioactive Warning Badge will it ruin the badge?,False
556,Is this prpduct hypo-allergenic?,False
557,I need to replace my Illudium Q-36 Explosive Space Modulator. Would this be a compatible alternative?,False
558,how big is the rock?,False
559,Serious question -  will emitted particles light up the phosphor in a florescent bulb ? (dark room of course),False
560,is this dangerous,False
561,How bout shipping to Malaysia?,False
562,I bought this product and now my skin is all tingly. Is that normal?,False
563,What is this actually used for?,False
564,Is this actual uranium or is this a gag item?  I need a source for my coursework but the questions and reviews are making doubts arise.,False
565,How do you store this?,False
566,Is it halal?,False
567,hello.. iam from india can you ship uranium ore to india...?,False
568,I would like a serious answer. Is this actually uranium?,False
569,Is this beta gamma or alpha and is this material considered toxic?,False
570,Shall i wait to buy the new 239 model or will it take long before being released?,False
571,May I use this for Cattle/Livestock manage?,False
572,is this legit or,False
573,Questions in short- harmful in anyway how big 3-5in? Handle with what?license exempt mean no need license? Legal in wisconsin?can havein open (desk)?,False
574,what number of these uranium isotopes,False
575,Why it dont ship to Turkeyı really want buy it,False
576,Is this Made in the USA? Is it a Koch Brothers product? Is it an Open Carry product?,False
577,Does any dyhydrogen monoxide need to be applied if so in what quantities?,False
578,is this actually radioactive?,False
